#Firmware: Speeduino 2022.04-dev
PriLevel,SecLevel,Trigger,Sync,RefTime,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms,ms
1.0,0.0,0.0,0.0,237852.48,3.46,237852.48
0.0,0.0,0.0,0.0,237853.25,0.772,237853.25
1.0,0.0,0.0,0.0,237854.2,0.956,237854.2
0.0,0.0,0.0,0.0,237855.02,0.804,237855.02
1.0,0.0,0.0,0.0,237855.95,0.948,237855.95
1.0,1.0,1.0,0.0,237855.98,0.032,237855.98
0.0,1.0,0.0,0.0,237856.73,0.736,237856.73
1.0,1.0,0.0,0.0,237857.67,0.948,237857.67
0.0,1.0,0.0,0.0,237858.52,0.836,237858.52
1.0,1.0,0.0,0.0,237859.47,0.96,237859.47
0.0,1.0,0.0,0.0,237860.3,0.824,237860.3
1.0,1.0,0.0,0.0,237861.25,0.948,237861.25
0.0,1.0,0.0,0.0,237862.1,0.852,237862.1
1.0,1.0,0.0,0.0,237863.06,0.964,237863.06
0.0,1.0,0.0,0.0,237863.9,0.84,237863.9
1.0,1.0,0.0,0.0,237864.88,0.98,237864.88
0.0,1.0,0.0,0.0,237865.73,0.856,237865.73
1.0,1.0,0.0,0.0,237866.67,0.932,237866.67
0.0,1.0,0.0,0.0,237867.53,0.86,237867.53
1.0,1.0,0.0,0.0,237868.53,1.0,237868.53
0.0,1.0,0.0,0.0,237869.34,0.812,237869.34
1.0,1.0,0.0,0.0,237870.31,0.98,237870.31
0.0,1.0,0.0,0.0,237871.14,0.816,237871.14
1.0,1.0,0.0,0.0,237872.11,0.976,237872.11
0.0,1.0,0.0,0.0,237872.9,0.8,237872.9
1.0,1.0,0.0,0.0,237873.89,0.984,237873.89
0.0,1.0,0.0,0.0,237877.83,3.932,237877.83
1.0,1.0,0.0,1.0,237879.14,1.32,237879.14
0.0,1.0,0.0,1.0,237879.94,0.796,237879.94
1.0,1.0,0.0,1.0,237880.89,0.944,237880.89
0.0,1.0,0.0,1.0,237881.69,0.792,237881.69
1.0,1.0,0.0,1.0,237882.6,0.92,237882.6
