#Firmware: Speeduino 2022.04-dev
ToothTime,Time
uS,uS
1048.0,1895536.0
1036.0,1896572.0
1048.0,1897620.0
1032.0,1898652.0
MARK 001
1004.0,1899656.0
1008.0,1900664.0
1024.0,1901688.0
1020.0,1902708.0
1020.0,1903728.0
1024.0,1904752.0
1028.0,1905780.0
1024.0,1906804.0
1024.0,1907828.0
1024.0,1908852.0
1024.0,1909876.0
1012.0,1910888.0
1032.0,1911920.0
1012.0,1912932.0
1028.0,1913960.0
1020.0,1914980.0
1024.0,1916004.0
1024.0,1917028.0
1024.0,1918052.0
1040.0,1919092.0
1020.0,1920112.0
1020.0,1921132.0
1028.0,1922160.0
1020.0,1923180.0
1028.0,1924208.0
1016.0,1925224.0
1028.0,1926252.0
1020.0,1927272.0
1004.0,1928276.0
1040.0,1929316.0
984.0,1930300.0
1044.0,1931344.0
1020.0,1932364.0
1052.0,1933416.0
1012.0,1934428.0
1044.0,1935472.0
1024.0,1936496.0
1028.0,1937524.0
1024.0,1938548.0
1032.0,1939580.0
1036.0,1940616.0
3080.0,1943696.0
1032.0,1944728.0
1032.0,1945760.0
1040.0,1946800.0
1036.0,1947836.0
1048.0,1948884.0
1032.0,1949916.0
1032.0,1950948.0
1056.0,1952004.0
1040.0,1953044.0
1036.0,1954080.0
1036.0,1955116.0
1044.0,1956160.0
1032.0,1957192.0
1052.0,1958244.0
1028.0,1959272.0
1040.0,1960312.0
1032.0,1961344.0
1068.0,1962412.0
1028.0,1963440.0
1048.0,1964488.0
1052.0,1965540.0
1048.0,1966588.0
1056.0,1967644.0
1044.0,1968688.0
1040.0,1969728.0
1064.0,1970792.0
1060.0,1971852.0
1036.0,1972888.0
1048.0,1973936.0
1040.0,1974976.0
1044.0,1976020.0
1036.0,1977056.0
1044.0,1978100.0
1036.0,1979136.0
1044.0,1980180.0
1012.0,1981192.0
1040.0,1982232.0
1036.0,1983268.0
1020.0,1984288.0
1044.0,1985332.0
1028.0,1986360.0
1024.0,1987384.0
1032.0,1988416.0
1024.0,1989440.0
1040.0,1990480.0
1032.0,1991512.0
1020.0,1992532.0
1052.0,1993584.0
1024.0,1994608.0
1036.0,1995644.0
1040.0,1996684.0
1048.0,1997732.0
1040.0,1998772.0
1036.0,1999808.0
1036.0,2000844.0
1052.0,2001896.0
1028.0,2002924.0
3116.0,2006040.0
1028.0,2007068.0
1028.0,2008096.0
1020.0,2009116.0
1032.0,2010148.0
1032.0,2011180.0
1040.0,2012220.0
1020.0,2013240.0
1032.0,2014272.0
1020.0,2015292.0
1024.0,2016316.0
1028.0,2017344.0
1028.0,2018372.0
1020.0,2019392.0
1036.0,2020428.0
1008.0,2021436.0
1004.0,2022440.0
1020.0,2023460.0
1032.0,2024492.0
1024.0,2025516.0
1032.0,2026548.0
1024.0,2027572.0
1024.0,2028596.0
1028.0,2029624.0
1032.0,2030656.0
1028.0,2031684.0
1044.0,2032728.0
1036.0,2033764.0
MARK 002
1060.0,2034824.0
1080.0,2035904.0
1056.0,2036960.0
1072.0,2038032.0
1060.0,2039092.0
1084.0,2040176.0
1072.0,2041248.0
1072.0,2042320.0
1076.0,2043396.0
1084.0,2044480.0
1072.0,2045552.0
1076.0,2046628.0
1068.0,2047696.0
1048.0,2048744.0
1096.0,2049840.0
1052.0,2050892.0
1068.0,2051960.0
1076.0,2053036.0
1056.0,2054092.0
1060.0,2055152.0
1056.0,2056208.0
1036.0,2057244.0
1056.0,2058300.0
1064.0,2059364.0
1048.0,2060412.0
1048.0,2061460.0
1044.0,2062504.0
1052.0,2063556.0
1052.0,2064608.0
1056.0,2065664.0
1040.0,2066704.0
1056.0,2067760.0
1040.0,2068800.0
1048.0,2069848.0
1068.0,2070916.0
1056.0,2071972.0
1060.0,2073032.0
1076.0,2074108.0
1056.0,2075164.0
1064.0,2076228.0
1056.0,2077284.0
1080.0,2078364.0
1040.0,2079404.0
3172.0,2082576.0
1060.0,2083636.0
1060.0,2084696.0
1044.0,2085740.0
1040.0,2086780.0
1056.0,2087836.0
1064.0,2088900.0
1056.0,2089956.0
1052.0,2091008.0
1040.0,2092048.0
1048.0,2093096.0
1040.0,2094136.0
1044.0,2095180.0
1056.0,2096236.0
1036.0,2097272.0
1044.0,2098316.0
1028.0,2099344.0
1044.0,2100388.0
1036.0,2101424.0
1056.0,2102480.0
1044.0,2103524.0
1044.0,2104568.0
1068.0,2105636.0
1044.0,2106680.0
1060.0,2107740.0
